Earth,x1,y1,Sun,x2,y2
,152100000.000000,0.000000,,0.000000,0.000000
,152100000.000000,500000.000000,,0.000000,0.000000
,152095489.260004,999985.171795,,41.353313,0.135941
,152086467.729366,1499940.686403,,124.060403,0.543772
,152072935.233667,1999851.711956,,248.122869,1.359467
,152054891.474697,2499703.411594,,413.543445,2.719047
,152032336.030413,2999480.941349,,620.326000,4.758597
,152005268.354884,3499169.448033,,868.475539,7.614288
,151973687.778222,3998754.067122,,1157.998204,11.422395
,151937593.506490,4498219.920637,,1488.901273,16.319313
,151896984.621600,4997552.115010,,1861.193163,22.441585
,151851860.081194,5496735.738963,,2274.883430,29.925912
,151802218.718504,5995755.861361,,2729.982770,38.909180
,151748059.242199,6494597.529070,,3226.503023,49.528474
,151689380.236217,6993245.764807,,3764.457170,61.921104
,151626180.159575,7491685.564970,,4343.859339,76.224618
,151558457.346171,7989901.897473,,4964.724804,92.576826
,151486210.004557,8487879.699560,,5627.069988,111.115820
,151409436.217710,8985603.875611,,6330.912467,131.979993
,151328133.942774,9483059.294940,,7076.270969,155.308059
,151242301.010791,9980230.789570,,7863.165378,181.239074
,151151935.126415,10477103.152003,,8691.616737,209.912457
,151057033.867609,10973661.132976,,9561.647251,241.468009
,150957594.685322,11469889.439191,,10473.280289,276.045935
,150853614.903152,11965772.731041,,11426.540388,313.786864
,150745091.716991,12461295.620311,,12421.453254,354.831872
,150632022.194656,12956442.667862,,13458.045770,399.322502
,150514403.275492,13451198.381298,,14536.345995,447.400782
,150392231.769972,13945547.212611,,15656.383170,499.209254
,150265504.359272,14439473.555805,,16818.187720,554.890989
,150134217.594823,14932961.744500,,18021.791261,614.589613
,149998367.897857,15425996.049507,,19267.226603,678.449326
,149857951.558929,15918560.676391,,20554.527752,746.614929
,149712964.737417,16410639.762993,,21883.729919,819.231841
,149563403.461015,16902217.376940,,23254.869521,896.446126
,149409263.625194,17393277.513121,,24667.984186,978.404515
,149250540.992658,17883804.091133,,26123.112762,1065.254430
,149087231.192773,18373780.952706,,27620.295318,1157.144004
,148919329.720977,18863191.859087,,29159.573149,1254.222111
,148746831.938182,19352020.488402,,30740.988786,1356.638386
,148569733.070141,19840250.432979,,32364.585998,1464.543249
,148388028.206809,20327865.196640,,34030.409799,1578.087934
,148201712.301682,20814848.191958,,35738.506454,1697.424510
,148010780.171109,21301182.737475,,37488.923485,1822.705908
,147815226.493596,21786852.054887,,39281.709679,1954.085948
,147615045.809085,22271839.266185,,41116.915092,2091.719362
,147410232.518210,22756127.390761,,42994.591058,2235.761825
,147200780.881539,23239699.342469,,44914.790193,2386.369978
,146986685.018792,23722537.926641,,46877.566408,2543.701457
,146767938.908042,24204625.837066,,48882.974909,2707.914922
,146544536.384892,24685945.652918,,50931.072211,2879.170081
,146316471.141635,25166479.835634,,53021.916140,3057.627725
,146083736.726388,25646210.725753,,55155.565846,3243.449750
,145846326.542213,26125120.539691,,57332.081808,3436.799192
,145604233.846209,26603191.366479,,59551.525843,3637.840254
,145357451.748587,27080405.164432,,61813.961115,3846.738337
,145105973.211722,27556743.757779,,64119.452143,4063.660073
,144849791.049184,28032188.833220,,66468.064810,4288.773353
,144588897.924747,28506721.936435,,68859.866373,4522.247362
,144323286.351376,28980324.468530,,71294.925472,4764.252608
,144052948.690190,29452977.682416,,73773.312137,5014.960962
