*******************************************************************************
 Revised: June 02, 2025                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2025-Jun-02):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375662    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec 23 07:13:57 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jun-30 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Dec-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453916.500000000, A.D. 2006-Jun-30 00:00:00.0000, -1.539057781127304E+00,  6.310278663774521E-01,  5.092737870785571E-02, -4.755169099420568E-03, -1.176078582060676E-02, -1.297906413520642E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453917.500000000, A.D. 2006-Jul-01 00:00:00.0000, -1.543763547883264E+00,  6.192471126983532E-01,  5.079595616479003E-02, -4.656312932706824E-03, -1.180059638840575E-02, -1.330530938064490E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453918.500000000, A.D. 2006-Jul-02 00:00:00.0000, -1.548370304835136E+00,  6.074269243251844E-01,  5.066127527792654E-02, -4.557150224871595E-03, -1.183965486685566E-02, -1.363073110722554E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453919.500000000, A.D. 2006-Jul-03 00:00:00.0000, -1.552877747686255E+00,  5.955680543083435E-01,  5.052334435261369E-02, -4.457685487047218E-03, -1.187795932042954E-02, -1.395531416831178E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453920.500000000, A.D. 2006-Jul-04 00:00:00.0000, -1.557285576653091E+00,  5.836712576411996E-01,  5.038217184607242E-02, -4.357923228340291E-03, -1.191550782206783E-02, -1.427904378424173E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453921.500000000, A.D. 2006-Jul-05 00:00:00.0000, -1.561593496469766E+00,  5.717372912540354E-01,  5.023776636690500E-02, -4.257867962574166E-03, -1.195229844302537E-02, -1.460190516404914E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453922.500000000, A.D. 2006-Jul-06 00:00:00.0000, -1.565801216393420E+00,  5.597669140071130E-01,  5.009013667476768E-02, -4.157524211003528E-03, -1.198832924935558E-02, -1.492388337683298E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453923.500000000, A.D. 2006-Jul-07 00:00:00.0000, -1.569908450211158E+00,  5.477608866837146E-01,  4.993929168066641E-02, -4.056896503924545E-03, -1.202359830715704E-02, -1.524496334019048E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453924.500000000, A.D. 2006-Jul-08 00:00:00.0000, -1.573914916247827E+00,  5.357199719841487E-01,  4.978524044756744E-02, -3.955989385164764E-03, -1.205810369319096E-02, -1.556512968956765E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453925.500000000, A.D. 2006-Jul-09 00:00:00.0000, -1.577820337373290E+00,  5.236449345201506E-01,  4.962799219061479E-02, -3.854807413318817E-03, -1.209184350244389E-02, -1.588436676314055E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
