*******************************************************************************
 Revised: April 12, 2021                Venus                           299 / 2
 
 PHYSICAL DATA (updated 2020-Oct-19):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759         2614       2650
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Dec 23 07:12:36 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jun-30 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Dec-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453916.500000000, A.D. 2006-Jun-30 00:00:00.0000,  6.804023807399970E-01,  2.598394903799631E-01, -3.568610259702346E-02, -7.239159044565525E-03,  1.883068196114596E-02,  6.752139400354907E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453917.500000000, A.D. 2006-Jul-01 00:00:00.0000,  6.729012287597479E-01,  2.785681074274932E-01, -3.499716405087640E-02, -7.762220925659469E-03,  1.862411007931020E-02,  7.025764061963101E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453918.500000000, A.D. 2006-Jul-02 00:00:00.0000,  6.648798549455883E-01,  2.970828509615582E-01, -3.428112687019361E-02, -8.279534752935185E-03,  1.840295984777415E-02,  7.294076276353075E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453919.500000000, A.D. 2006-Jul-03 00:00:00.0000,  6.563442106291283E-01,  3.153692192767871E-01, -3.353853298339991E-02, -8.790694582039760E-03,  1.816738645663711E-02,  7.556862982438779E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453920.500000000, A.D. 2006-Jul-04 00:00:00.0000,  6.473006511992897E-01,  3.334128715507125E-01, -3.276994543821538E-02, -9.295298296052634E-03,  1.791755646978749E-02,  7.813914884572279E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453921.500000000, A.D. 2006-Jul-05 00:00:00.0000,  6.377559321148308E-01,  3.511996391805980E-01, -3.197594801638051E-02, -9.792947925559983E-03,  1.765364774947512E-02,  8.065026626958171E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453922.500000000, A.D. 2006-Jul-06 00:00:00.0000,  6.277172045968680E-01,  3.687155370402820E-01, -3.115714483100580E-02, -1.028324996853605E-02,  1.737584937172366E-02,  8.309996966703599E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453923.500000000, A.D. 2006-Jul-07 00:00:00.0000,  6.171920110017460E-01,  3.859467746478011E-01, -3.031415990669343E-02, -1.076581570973645E-02,  1.708436153250358E-02,  8.548628945321264E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453924.500000000, A.D. 2006-Jul-08 00:00:00.0000,  6.061882798748393E-01,  4.028797672345554E-01, -2.944763674259054E-02, -1.124026153937958E-02,  1.677939544459418E-02,  8.780730058548660E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453925.500000000, A.D. 2006-Jul-09 00:00:00.0000,  5.947143206861721E-01,  4.195011467066137E-01, -2.855823785855410E-02, -1.170620927078799E-02,  1.646117322500056E-02,  9.006112424273724E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453926.500000000, A.D. 2006-Jul-10 00:00:00.0000,  5.827788182490247E-01,  4.357977724886949E-01, -2.764664432462426E-02, -1.216328645672591E-02,  1.612992777287702E-02,  9.224592948409339E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453927.500000000, A.D. 2006-Jul-11 00:00:00.0000,  5.703908268229783E-01,  4.517567422412956E-01, -2.671355527402066E-02, -1.261112670413178E-02,  1.578590263788315E-02,  9.435993488532067E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453928.500000000, A.D. 2006-Jul-12 00:00:00.0000,  5.575597639031596E-01,  4.673654024413635E-01, -2.575968739989396E-02, -1.304936998693799E-02,  1.542935187891055E-02,  9.640141015099258E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453929.500000000, A.D. 2006-Jul-13 00:00:00.0000,  5.442954036977511E-01,  4.826113588168612E-01, -2.478577443608521E-02, -1.347766295666361E-02,  1.506053991313051E-02,  9.836867770056422E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
